,upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,Stock,cost_cents,cost_qty,Phone,New CSV
19,"=""009004045741""",Drinks,1,199,n,n,P,,,n,1,"=""0""",0,,617-866-3824,
20,"=""009060000029""",Candy,1,149,n,n,"Mega Warheads:Candy, Strawberry",1.50 OZ,,n,1,"=""0""",0,1.0,617-866-3824,This is a simple product.
21,"=""009060000081""",Candy,1,149,n,n,Rip Rolls Rainbow Reaction,.78 oz,,n,1,"=""0""",0,1.0,617-866-3824,This is a simple product.
22,"=""009114920006""",Misc.,1,349,n,n,Zecol Zeco-20 Windshield Washer Solvant,128 Oz,,n,1,"=""0""",0,,617-866-3824,This is a grouped product.
23,"=""009300003056""",Grocery Non-Taxable,1,299,n,n,Sanks,,y,n,1,"=""0""",0,,617-866-3824,This is an external product.
24,"=""009800000227""",Candy,1,189,n,n,Raffaello:Confetteria,1.00 OZ,,n,1,"=""0""",0,,617-866-3824,
25,"=""009800000524""",Candy,1,199,n,n,Kinder joy,"=""1""",,n,1,"=""0""",0,,617-866-3824,
26,"=""009800000555""",Candy,1,199,n,n,kinder Bueno,1.5 oz,,n,1,"=""0""",0,,617-866-3824,
27,"=""009800000777""",Snacks,1,199,n,n,Kinder,"=""1""",,n,1,"=""0""",0,,617-866-3824,
28,"=""009800001071""",Candy,1,149,n,n,Tic Tac:Grape,1.00 OZ,,n,1,"=""0""",0,,617-866-3824,
29,"=""009800001088""",Candy,1,149,n,n,Tic Tac Mixers Cherry,1.00 Oz,y,n,1,"=""0""",0,,617-866-3824,
30,"=""009800001507""",Candy,1,149,n,n,tic tac mixers,1.00 OZ,,n,1,"=""0""",0,,617-866-3824,
31,"=""009800001811""",Candy,1,149,n,n,Tic Tacs 3 pk Freshmint,,y,n,1,"=""0""",0,,617-866-3824,
32,"=""009800002993""",Candy,1,149,n,n,TIC TAC FROSTY MINT,,,n,1,"=""0""",0,,617-866-3824,
33,"=""009800005406""",Candy,1,149,n,n,Tic tac,,,n,1,"=""0""",0,1.0,617-866-3824,
34,"=""009800007400""",Candy,1,149,n,n,Tic Tac Strawberry Fields Mints,1 Oz,,n,1,"=""0""",0,,617-866-3824,
35,"=""009800007608""",Candy,1,149,n,n,Tic Tac:Fruit Adventure,1.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
36,"=""009800007615""",Candy,1,149,n,n,Tic Tac Freshmints,1.00 OZ,,n,1,"=""0""",0,,617-866-3824,
37,"=""009800007639""",Candy,1,149,n,n,Tic Tac Orange,1.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
38,"=""009800007677""",Candy,1,149,n,n,Tic Tac Big Pack Wintergreen Singles,1.00 Oz,y,n,1,"=""0""",0,,617-866-3824,
39,"=""009800100026""",Candy,1,149,n,n,Tic tac,,,n,1,"=""0""",0,,617-866-3824,
40,"=""009800123018""",Candy,1,169,n,n,Ferrero Rocher:Fine Hazelnut Chocolates,1.30 OZ,,n,1,"=""0""",0,,617-866-3824,
41,"=""009800300037""",Candy,1,149,n,n,TIC TAC GUM WATERMELON,EA,,n,1,"=""0""",0,,617-866-3824,
42,"=""009800800056""",Snacks,1,199,n,n,Nutella Ferrero & Go Hazelnut Spread + Breadsticks,1.80 OZ,y,n,1,"=""0""",0,,617-866-3824,
43,"=""009800802203""",Grocery Non-Taxable,1,349,n,n,Nutella Ferrero Hazelnut Spread With Cocoa,7.7oz,,n,1,"=""0""",0,1.0,617-866-3824,
44,"=""009800895007""",Grocery Non-Taxable,1,449,n,n,Nutella,13 oz,y,n,1,"=""0""",0,,617-866-3824,
45,"=""010200231005""",Grocery Non-Taxable,1,219,n,n,"Indian Head:Corn Meal, Old Fashioned Stone Ground Yellow",32.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
46,"=""010300938194""",Snacks,1,199,n,n,Emerald:Sea Salt & Pepper,1.50 OZ,,n,1,"=""0""",0,,617-866-3824,
47,"=""010300940197""",Snacks,1,199,n,n,Emerald:Halves & Pieces,1.50 OZ,,n,1,"=""0""",0,,617-866-3824,
48,"=""010300941194""",Snacks,1,199,n,n,Emerald Pickles Cashew,1.25 oz,,n,1,"=""0""",0,,617-866-3824,
49,"=""010700000224""",Candy,1,125,n,n,Jolly Rancher Bites Awesome Twosome,1.80 oz,,n,1,"=""0""",0,,617-866-3824,
50,"=""010700021526""",Grocery Non-Taxable,1,100,n,n,Milk Duds:Chocolate Covered Caramels,5.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
51,"=""010700101099""",Grocery Non-Taxable,1,199,n,n,Jolly Rancher,,y,n,1,"=""0""",0,,617-866-3824,
52,"=""010700132772""",Condiments,1,199,n,n,Joj,,y,n,1,"=""0""",0,,617-866-3824,
53,"=""010700450166""",Candy,1,249,n,n,Jolly Rancher Bites,6.5 oz,,n,1,"=""0""",0,,617-866-3824,
54,"=""010700450265""",Candy,1,135,n,n,JOLLY RANCHER SOUR,"=""1""",,n,1,"=""0""",0,,617-866-3824,
55,"=""010700507365""",Candy,1,135,n,n,PayDay:Bar,6.00 EA,y,n,1,"=""0""",0,,617-866-3824,
56,"=""010700517128""",Candy,1,135,n,n,Jolly Rancher:Strawberry Green Apple,1.20 OZ,,n,1,"=""0""",0,,617-866-3824,
57,"=""010700517227""",Candy,1,249,n,n,Jolly Rancher Hard Candy,6.5 Oz,,n,1,"=""0""",0,,617-866-3824,
58,"=""010700519306""",Candy,1,349,n,n,"Jolly Rancher:Fruit Chews, Assortment",6.50 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
59,"=""010700519528""",Grocery Non-Taxable,1,125,n,n,Jolly Rancher:Original Flavors,2.06 OZ,y,n,1,"=""0""",0,,617-866-3824,
60,"=""010700529831""",Candy,1,299,n,n,JOLLY RANCHER BITES SUB 8,*EACH,,n,1,"=""0""",0,1.0,617-866-3824,
61,"=""010700606037""",Candy,1,249,n,n,Jolly Rancher:Original Flavors,3.00 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
62,"=""010700702029""",Candy,1,349,n,n,Whoppers:Malted Milk Balls,7.00 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
63,"=""010700702302""",Candy,1,349,n,n,Jolly Rancher:Original Flavors,7.00 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
64,"=""010700702838""",Candy,1,259,n,n,Candy,,,n,1,"=""0""",0,1.0,617-866-3824,
65,"=""010700702845""",Candy,1,299,n,n,Jolly Rancher,,,n,1,"=""0""",0,,617-866-3824,
66,"=""010700804228""",Candy,1,149,n,n,"Zero:Caramel, Peanut and Almond Nougat covered with White Fudge",1.85 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
67,"=""010700807229""",Candy,1,125,n,n,PayDay Peanut Caramel Bar,1.85 OZ,y,n,1,"=""0""",0,,617-866-3824,
68,"=""010700807274""",Candy,1,189,n,n,PayDay:King Size,3.40 OZ,y,n,1,"=""0""",0,,617-866-3824,
69,"=""010700858351""",Candy,1,349,n,n,JOLLY RANCH 5 OZ,,,n,1,"=""0""",0,1.0,617-866-3824,
70,"=""010700858368""",Candy,1,349,n,n,Jolly Rancher Gummi,"=""0""",,n,1,"=""0""",0,1.0,617-866-3824,
71,"=""010700858405""",Candy,1,225,n,n,Jolly rancher,,,n,1,"=""0""",0,1.0,617-866-3824,
72,"=""010700858412""",Candy,1,225,n,n,Jolly rancher sour,,,n,1,"=""0""",0,1.0,617-866-3824,
73,"=""010700858900""",Candy,1,299,n,n,Jolly rancher gummies,,,n,1,"=""0""",0,1.0,617-866-3824,
74,"=""010827563213""",Tobacco,1,1399,n,n,G,,n,n,1,"=""0""",0,,617-866-3824,
75,"=""010900000246""",Household,1,549,n,n,Reynolds Wrap Aluminum Foil:Heavy Duty,37.50 SQ FT,,n,1,"=""0""",0,,617-866-3824,
76,"=""010900000307""",Household,1,649,n,n,Reynolds Wrap Aluminum Foil:Super Strength,37.50 SQ FT,,n,1,"=""0""",0,,617-866-3824,
77,"=""010900000406""",Household,1,279,n,n,Reynolds Wrap Aluminum Foil,25 ft,,n,1,"=""0""",0,,617-866-3824,
78,"=""010900001144""",Household,1,449,n,n,Reynolds Wrap Non-Stick Foil:Non-Stick Heavy Duty,35.00 SQ FT,n,n,1,"=""0""",0,,617-866-3824,
79,"=""010900080316""",Household,1,299,n,n,Reynolds Wrap Aluminum Foil:Aluminum Foil,30.00 SQ FT,,n,1,"=""0""",0,,617-866-3824,
80,"=""011000002888""",Cigarettes,1,800,n,n,Eagle 100s,"=""1""",,n,1,"=""0""",0,,617-866-3824,
81,"=""011000002932""",Cigarettes,1,800,n,n,Eagle 20's,1pk,,n,1,"=""0""",0,,617-866-3824,
82,"=""011111009448""",Household,1,499,n,n,Dove hand soap,,,n,1,"=""0""",0,,617-866-3824,
83,"=""011111012158""",Household,1,249,n,n,Dove Men+Care(Tm):Extra Fresh 4.25 Oz,2.00 CT,n,n,1,"=""0""",0,,617-866-3824,
84,"=""011111012165""",Household,1,249,n,n,Dove Men+Care(Tm):Deep Clean 4.25 Oz,2.00 CT,n,n,1,"=""0""",0,,617-866-3824,
85,"=""011111062184""",Household,1,999,n,n,Dove Men+Care(Tm):Extra Fresh,18.00 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
86,"=""011111062191""",Household,1,999,n,n,Dove Men+Care(Tm):Deep Clean,18.00 FL OZ,,n,1,"=""0""",0,1.0,617-866-3824,
87,"=""011111121140""",Household,1,999,n,n,Dove Go Fresh:Cucumber & Green Tea Scent,12.00 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
88,"=""011111123311""",Household,1,899,n,n,Dove:Go Fresh Cool Moisture,24.00 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
89,"=""011111125186""",Household,1,899,n,n,Dove:Gentle Exfoliating,24.00 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
90,"=""011111407565""",Household,1,999,n,n,Caress daily silk,,,n,1,"=""0""",0,1.0,617-866-3824,
91,"=""011132000400""",Pet,1,799,n,y,ALPO Prime Cuts:Savory Beef Flavor,4.00 LB,n,n,1,"=""0""",0,,617-866-3824,
92,"=""011132117559""",Pet,1,149,n,n,ALPO Wet:Chop House Originals Ribeye Flavor (Ps #5114442),13.20 OZ,,n,1,"=""0""",0,,617-866-3824,
93,"=""011132125165""",Pet,1,149,n,n,ALPO Wet:Prime Cuts Homestyle w/Beef Bacon & Cheese In Gravy (Ps #5126831),13.20 OZ,,n,1,"=""0""",0,,617-866-3824,
94,"=""011132125448""",Pet,1,149,n,n,ALPO Wet:Prime Cuts Homestyle w/Chicken In Gravy,13.20 OZ,,n,1,"=""0""",0,,617-866-3824,
95,"=""011132142230""",Pet,1,189,n,n,ALPO Wet:Hidden Goodness Homestyle w/Chicken,13.20 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
96,"=""011132168650""",Pet,1,189,n,n,Alpo dog food with chicken,13oz,,n,1,"=""0""",0,1.0,617-866-3824,
97,"=""011132168674""",Pet,1,169,n,n,Alpo dog food with lamb &rice,13oz,,n,1,"=""0""",0,1.0,617-866-3824,
98,"=""011132171483""",Pet,1,299,n,n,Alpo Prime Cuts Savory Beef Flavor,16 oz,y,n,1,"=""0""",0,,617-866-3824,
99,"=""011132521479""",Pet,1,149,n,n,ALPO Wet:Prime Slices Homestyle w/Beef In Gravy,13.20 OZ,n,n,1,"=""0""",0,,617-866-3824,
100,"=""011162102303""",Household,1,499,n,n,Mrs. Paul's:Crunchy,10.00 CT,y,n,1,"=""0""",0,,617-866-3824,
101,"=""011200563219""",Household,1,1499,n,n,Vbh,,n,n,1,"=""0""",0,,617-866-3824,
102,"=""011210000018""",Grocery Non-Taxable,1,249,n,n,Tabasco Sauce,"=""199""",n,n,1,"=""0""",0,,617-866-3824,
103,"=""011210009714""",Grocery Non-Taxable,1,299,n,n,Tabasco Green Pepper Sauce,2.00 FL OZ,,n,1,"=""0""",0,1.0,617-866-3824,
104,"=""011215000051""",Candy,1,100,n,n,Sky Bar Caramel Vanilla,1.5 Oz,,n,1,"=""0""",0,,617-866-3824,
105,"=""011215900900""",Snacks,1,99,n,n,Necco:Candy Wafer,2.02 OZ,y,n,1,"=""0""",0,,617-866-3824,
106,"=""011233077035""",Snacks,1,125,n,n,Pie,4 oz,,n,1,"=""0""",0,,617-866-3824,
107,"=""011233087010""",Snacks,1,100,n,n,Table Talk:Apple Pie,4.00 OZ,,n,1,"=""0""",0,,617-866-3824,
108,"=""011233087041""",Snacks,1,100,n,n,Table Talk:Blueberry Pie,4.00 OZ,,n,1,"=""0""",0,,617-866-3824,
109,"=""011284003014""",Snacks,1,199,n,n,JJ's:Apple Fruit Pie,4.00 OZ,y,n,1,"=""0""",0,1.0,617-866-3824,
110,"=""011284003038""",Snacks,1,99,n,n,"JJ's:Pie, Berry",4.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
111,"=""011284003113""",Grocery Non-Taxable,1,99,n,n,JJ,,y,n,1,"=""0""",0,,617-866-3824,
112,"=""011284003168""",Snacks,1,100,n,n,JJ'S Strawberry & Cream Pie,4 oz,,n,1,"=""0""",0,,617-866-3824,
113,"=""011284003298""",Condiments,1,100,n,n,Banana Pie,4.00 ounces,y,n,1,"=""0""",0,,617-866-3824,
114,"=""011822229043""",Grocery Non-Taxable,1,269,n,n,Kgguu,,n,n,1,"=""0""",0,,617-866-3824,
115,"=""012000000133""",Drinks,1,100,n,n,Pepsi Cola,12 oz,,n,1,"=""0""",0,,617-866-3824,
116,"=""012000000621""",Drinks,1,100,n,n,Mountain Dew Code Red,6.00 PK,y,n,1,"=""0""",0,,617-866-3824,
117,"=""012000000850""",Drinks,1,100,n,n,Mountain Dew,12 oz,y,n,1,"=""0""",0,,617-866-3824,
118,"=""012000001086""",Grocery Non-Taxable,1,50,n,n,Aquafina,16.9 oz,y,n,1,"=""0""",0,,617-866-3824,
119,"=""012000001130""",Drinks,1,275,n,n,Pepsi Cola,2.00 LT,y,n,1,"=""0""",0,,617-866-3824,
120,"=""012000001291""",Drinks,1,225,n,n,Pepsi Cola,20.00 OZ,y,n,1,"=""0""",0,1.0,617-866-3824,
121,"=""012000001307""",Drinks,1,189,n,n,Pepsi Diet Cola,20.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
122,"=""012000001314""",Drinks,1,199,n,n,Mountain Dew,20.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
123,"=""012000001321""",Drinks,1,225,n,n,Diet Pepsi,2.00 LT,y,n,1,"=""0""",0,,617-866-3824,
124,"=""012000001345""",Drinks,1,189,n,n,Mountain Dew Diet,20.00 OZ,,n,1,"=""0""",0,,617-866-3824,
125,"=""012000001772""",Drinks,1,249,n,n,Starbucks Doubleshot Espresso & Cream,6.50 FL OZ,,n,1,"=""0""",0,,617-866-3824,
126,"=""012000001802""",Drinks,1,369,n,n,Starbucks Frappuccino Coffee,13.70 OZ,y,n,1,"=""0""",0,1.0,617-866-3824,
127,"=""012000002243""",Drinks,1,199,n,n,Mountain Dew Code Red,20.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
128,"=""012000002304""",Drinks,1,225,n,n,Pepsi Cola,2.00 LT,,n,1,"=""0""",0,,617-866-3824,
129,"=""012000002335""",Drinks,1,275,n,n,Mountain Dew,2.00 LT,y,n,1,"=""0""",0,,617-866-3824,
130,"=""012000002946""",Drinks,1,189,n,n,Pepsi 1L,1.00 LT,,n,1,"=""0""",0,,617-866-3824,
131,"=""012000003103""",Drinks,1,100,n,n,Pepsi Wild Cherry,12.00 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
132,"=""012000003554""",Drinks,1,229,n,n,Starbucks Coffee Drink,9.50 FL OZ\,y,n,1,"=""0""",0,,617-866-3824,
133,"=""012000004100""",Drinks,1,229,n,n,Starbucks Frappuccino Vanilla,9.50 OZ,y,n,1,"=""0""",0,,617-866-3824,
134,"=""012000004223""",Drinks,1,199,n,n,Mug Cream Soda,20.00 OZ,,n,1,"=""0""",0,,617-866-3824,
135,"=""012000004520""",Drinks,1,369,n,n,Starbucks Frappuccino Mocha,13.70 OZ,y,n,1,"=""0""",0,,617-866-3824,
136,"=""012000004964""",Drinks,1,225,n,n,Pepsi Diet Caffeine Free,2.00 LT\,y,n,1,"=""0""",0,,617-866-3824,
137,"=""012000005596""",Drinks,1,199,n,n,Pepsi Wild Cherry,20.00 OZ,,n,1,"=""0""",0,,617-866-3824,
138,"=""012000005688""",Drinks,1,100,n,n,Pepsi,12.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
139,"=""012000005695""",Drinks,1,100,n,n,Diet Pepsi Cola,6.00 EA,y,n,1,"=""0""",0,,617-866-3824,
140,"=""012000006494""",Drinks,1,229,n,n,Starbucks Frappuccino Mocha,9.50 OZ,y,n,1,"=""0""",0,,617-866-3824,
141,"=""012000007293""",Drinks,1,249,n,n,Starbucks Doubleshot Expresso: Espresso & Salted Caramel Cream,6.5 oz,,n,1,"=""0""",0,,617-866-3824,
142,"=""012000007590""",Drinks,1,100,n,n,Lipton Brisk Lemon,12.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
143,"=""012000008054""",Drinks,1,100,n,n,Pepsi Can,,,n,1,"=""0""",0,1.0,617-866-3824,
144,"=""012000008153""",Drinks,1,100,n,n,Pepsi diet,12Oz,,n,1,"=""0""",0,,617-866-3824,
145,"=""012000008993""",Drinks,1,100,n,n,Mug:Root Beer,12.00 OZ,,n,1,"=""0""",0,,617-866-3824,
146,"=""012000009105""",Drinks,1,199,n,n,Mug Root Beer,20.00 OZ,,n,1,"=""0""",0,,617-866-3824,
147,"=""012000009358""",Drinks,1,275,n,n,Mug Root Beer,2.00 LT,y,n,1,"=""0""",0,,617-866-3824,
148,"=""012000012754""",Drinks,1,169,n,n,Lipton Iced Tea:Green Tea w/Citrus,20.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
149,"=""012000014260""",Drinks,1,125,n,n,Pepsi:12 Oz Shrinkwrapped,8.00 PK,y,n,1,"=""0""",0,1.0,617-866-3824,
150,"=""012000016431""",Drinks,1,249,n,n,AMP Energy,16.00 OZ,y,n,1,"=""0""",0,,617-866-3824,
151,"=""012000016721""",Drinks,1,369,n,n,Starbucks Frappuccino Caramel Intense Chilled Coffee Drink,13.70 oz,,n,1,"=""0""",0,,617-866-3824,
152,"=""012000018770""",Drinks,1,100,n,n,Pepsi Max:Zero Calories,12.00 FL OZ,,n,1,"=""0""",0,1.0,617-866-3824,
153,"=""012000018800""",Drinks,1,189,n,n,Pepsi Max,20.00 OZ,,n,1,"=""0""",0,,617-866-3824,
154,"=""012000021367""",Drinks,1,249,n,n,Ocean Spray:Cranberry Juice Cocktail,15.20 FL OZ,y,n,1,"=""0""",0,1.0,617-866-3824,
155,"=""012000021381""",Drinks,1,249,n,n,Ocean Spray:Crangrape,15.20 OZ,y,n,1,"=""0""",0,1.0,617-866-3824,
156,"=""012000024528""",Drinks,1,100,n,n,Lipton Brisk:Raspberry,1.05 QT,y,n,1,"=""0""",0,,617-866-3824,
157,"=""012000027215""",Drinks,1,179,n,n,Mountain Dew,16.00 OZ,,n,1,"=""0""",0,1.0,617-866-3824,
158,"=""012000028458""",Drinks,1,299,n,n,Starbucks Doubleshot:Mocha,15.00 FL OZ,,n,1,"=""0""",0,,617-866-3824,
159,"=""012000028472""",Dairy,1,299,n,n,Starbucks Doubleshot:Coffee,15.00 FL OZ,y,n,1,"=""0""",0,,617-866-3824,
160,"=""012000028496""",Drinks,1,299,n,n,Starbucks Doubleshot:Vanilla,15.00 FL OZ,y,n,1,"=""0""",0,,617-866-3824,
161,"=""012000028625""",Drinks,1,199,n,n,Mountain Dew Voltage,20.00 FL OZ,,n,1,"=""0""",0,,617-866-3824,
162,"=""012000030284""",Drinks,1,179,n,n,Pepsi Cola 16oz,,,n,1,"=""0""",0,1.0,617-866-3824,
163,"=""012000034015""",Drinks,1,149,n,n,Brisk Half Lemonade,"=""1""",y,n,1,"=""0""",0,1.0,617-866-3824,
164,"=""012000034022""",Drinks,1,149,n,n,Lipton Brisk Peach,1.00 LT,y,n,1,"=""0""",0,1.0,617-866-3824,
165,"=""012000034039""",Drinks,1,99,n,n,Lipton Brisk Strawberry Melon,1.00 LT,y,n,1,"=""0""",0,,617-866-3824,
166,"=""012000041174""",Drinks,1,199,n,n,Pure Leaf Honey Green Tea,18.5 oz,y,n,1,"=""0""",0,,617-866-3824,
167,"=""012000041396""",Drinks,1,299,n,n,Starbucks Iced Coffee + Milk,11.00 FL OZ,y,n,1,"=""0""",0,,617-866-3824,
168,"=""012000042669""",Drinks,1,100,n,n,Brisk Half & Half Iced Tea & Cherry Limeade,1 L,y,n,1,"=""0""",0,,617-866-3824,
169,"=""012000042737""",Drinks,1,100,n,n,Brisk Half & Half Iced Tea & Tropical Lemonade,1L,y,n,1,"=""0""",0,,617-866-3824,
170,"=""012000042836""",Drinks,1,225,n,n,Pure Leaf Tea & Lemonade,18.5 oz,y,n,1,"=""0""",0,1.0,617-866-3824,
171,"=""012000043000""",Drinks,1,149,n,n,Mountain Dew Kickstart:Energizing Black Cherry,16.00 FL OZ,y,n,1,"=""0""",0,,617-866-3824,
172,"=""012000043017""",Drinks,1,149,n,n,Mountain Dew Kickstart:Energizing Limeade,16.00 FL OZ,y,n,1,"=""0""",0,,617-866-3824,
173,"=""012000064494""",Drinks,1,199,n,n,Dole Lamonade,,,n,1,"=""0""",0,,617-866-3824,
174,"=""012000064500""",Drinks,1,199,n,n,Dole Strawberry Lemonade 20oz,,,n,1,"=""0""",0,1.0,617-866-3824,
175,"=""012000064524""",Drinks,1,275,n,n,2L DOLE LMND,,,n,1,"=""0""",0,1.0,617-866-3824,
176,"=""012000064531""",Drinks,1,275,n,n,2L DOLE STRW LMND,,,n,1,"=""0""",0,1.0,617-866-3824,
177,"=""012000071744""",Drinks,1,249,n,n,Ocean Spray 100% Orange,15.20 OZ,y,n,1,"=""0""",0,1.0,617-866-3824,
178,"=""012000071751""",Drinks,1,249,n,n,Ocean Spray:100% Apple,15.20 FL OZ,y,n,1,"=""0""",0,1.0,617-866-3824,
179,"=""012000071768""",Drinks,1,199,n,n,Ocean Spray:Strawberry Kiwi,15.20 OZ,y,n,1,"=""0""",0,,617-866-3824,
180,"=""012000071775""",Drinks,1,199,n,n,Ocean Spray:Pineapple Peach Mango,15.20 OZ,y,n,1,"=""0""",0,,617-866-3824,
181,"=""012000071782""",Drinks,1,199,n,n,Ocean Spray:Ruby Red Grapefruit,15.20 OZ,y,n,1,"=""0""",0,,617-866-3824,
182,"=""012000101908""",Drinks,1,149,n,n,Brisk Juice Lemonade,1 l,y,n,1,"=""0""",0,1.0,617-866-3824,
183,"=""012000110443""",Drinks,1,199,n,n,Mountain Dew Kickstart:Energizing Citrus Orange,16.00 FL OZ,y,n,1,"=""0""",0,,617-866-3824,
184,"=""012000110467""",Drinks,1,199,n,n,Mountain Dew Kickstart:Energizing Fruit Punch,16.00 FL OZ,,n,1,"=""0""",0,,617-866-3824,
185,"=""012000112232""",Drinks,1,100,n,n,Lipton Peach Iced Tea,20 oz,y,n,1,"=""0""",0,,617-866-3824,
186,"=""012000130274""",Drinks,1,199,n,n,MTN Dew Baja Blast Soda,20 Oz,,n,1,"=""0""",0,,617-866-3824,
187,"=""012000130311""",Drinks,1,100,n,n,MTN Dew Baja Blast,12 Oz,,n,1,"=""0""",0,1.0,617-866-3824,
188,"=""012000130922""",Drinks,1,100,n,n,Lipton Peach Iced Tea,16.9 Oz,y,n,1,"=""0""",0,,617-866-3824,
189,"=""012000140211""",Drinks,1,100,n,n,Brisk Half & Half Iced Tea Blueberry Lemonade,1L,y,n,1,"=""0""",0,,617-866-3824,
190,"=""012000140709""",Drinks,1,179,n,n,PEPSI CHERRY,16 Oz,,n,1,"=""0""",0,1.0,617-866-3824,
191,"=""012000140877""",Grocery Non-Taxable,1,1000,n,n,19,1.25 L,y,n,1,"=""0""",0,,617-866-3824,
192,"=""012000141652""",Drinks,1,100,n,n,Brisk Pineapple Iced Tea,1L,y,n,1,"=""0""",0,,617-866-3824,
193,"=""012000150098""",Drinks,1,100,n,n,Mist Twist Lemon Lime,20 oz,,n,1,"=""0""",0,,617-866-3824,
194,"=""012000150135""",Drinks,1,100,n,n,Mist Twist,12 Oz,,n,1,"=""0""",0,,617-866-3824,
195,"=""012000151163""",Drinks,1,149,n,n,Mtn Dew Kickstarter Midnight Grape,16 oz,y,n,1,"=""0""",0,,617-866-3824,
196,"=""012000151262""",Drinks,1,189,n,n,Crystal Pepsi,20 oz,,n,1,"=""0""",0,,617-866-3824,
197,"=""012000152719""",Drinks,1,99,n,n,Lipton Iced Tea Mango,16 oz,y,n,1,"=""0""",0,,617-866-3824,
198,"=""012000161155""",Drinks,1,249,n,n,Life Water,33oz,,n,1,"=""0""",0,,617-866-3824,
199,"=""012000161162""",Drinks,1,199,n,n,Life Water,23oz,,n,1,"=""0""",0,,617-866-3824,
200,"=""012000161230""",Drinks,1,149,n,n,Brisk Iced Tea Strawberry,1 L,y,n,1,"=""0""",0,1.0,617-866-3824,
