SKU,Categories,Stock,Price,Name,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?
630135615,Candy,1,100,Sugar Free Liquid Candy,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",taxable,1.0,0.0,0.0
630135714,Snacks,1,199,Too tarts,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",taxable,1.0,0.0,0.0
630135899,Candy,1,149,"Too Tarts Spray Candy Sugar Free, Straw Bewwy","This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",taxable,1.0,0.0,0.0
5100000264,Grocery Non-Taxable,1,50,Beans,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",taxable,1.0,0.0,0.0
8464400145,Water,1,100,Monadnock Water,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",taxable,1.0,0.0,0.0
8464400640,Drinks,1,200,Water,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",taxable,1.0,0.0,0.0
8563888707,Snacks,1,100,Coconut Macarroni,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",taxable,1.0,0.0,0.0
8563991070,Snacks,1,100,Coconut Macaroon,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",taxable,1.0,0.0,0.0
8660000026,Tobacco,1,249,Zig-Zag Slow Burning Wrapping Paper,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",taxable,1.0,0.0,0.0
9004045741,Drinks,1,199,P,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",taxable,1.0,0.0,0.0
9060000029,Candy,1,149,"Mega Warheads:Candy, Strawberry",This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",taxable,1.0,0.0,0.0
9060000081,Candy,1,149,Rip Rolls Rainbow Reaction,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",taxable,1.0,0.0,0.0
9114920006,Misc.,1,349,Zecol Zeco-20 Windshield Washer Solvant,This is a grouped product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",taxable,1.0,0.0,0.0
9300003056,Grocery Non-Taxable,1,299,Sanks,This is an external product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",taxable,1.0,0.0,0.0
9800000227,Candy,1,189,Raffaello:Confetteria,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",taxable,1.0,0.0,0.0
9800000524,Candy,1,199,Kinder joy,,,,,,
9800000555,Candy,1,199,kinder Bueno,,,,,,
9800000777,Snacks,1,199,Kinder,,,,,,
9800001071,Candy,1,149,Tic Tac:Grape,,,,,,
9800001088,Candy,1,149,Tic Tac Mixers Cherry,,,,,,
9800001507,Candy,1,149,tic tac mixers,,,,,,
9800001811,Candy,1,149,Tic Tacs 3 pk Freshmint,,,,,,
9800002993,Candy,1,149,TIC TAC FROSTY MINT,,,,,,
9800005406,Candy,1,149,Tic tac,,,,,,
9800007400,Candy,1,149,Tic Tac Strawberry Fields Mints,,,,,,
9800007608,Candy,1,149,Tic Tac:Fruit Adventure,,,,,,
9800007615,Candy,1,149,Tic Tac Freshmints,,,,,,
9800007639,Candy,1,149,Tic Tac Orange,,,,,,
9800007677,Candy,1,149,Tic Tac Big Pack Wintergreen Singles,,,,,,
9800100026,Candy,1,149,Tic tac,,,,,,
9800123018,Candy,1,169,Ferrero Rocher:Fine Hazelnut Chocolates,,,,,,
9800300037,Candy,1,149,TIC TAC GUM WATERMELON,,,,,,
9800800056,Snacks,1,199,Nutella Ferrero & Go Hazelnut Spread + Breadsticks,,,,,,
9800802203,Grocery Non-Taxable,1,349,Nutella Ferrero Hazelnut Spread With Cocoa,,,,,,
9800895007,Grocery Non-Taxable,1,449,Nutella,,,,,,
10200231005,Grocery Non-Taxable,1,219,"Indian Head:Corn Meal, Old Fashioned Stone Ground Yellow",,,,,,
10300938194,Snacks,1,199,Emerald:Sea Salt & Pepper,,,,,,
10300940197,Snacks,1,199,Emerald:Halves & Pieces,,,,,,
10300941194,Snacks,1,199,Emerald Pickles Cashew,,,,,,
10700000224,Candy,1,125,Jolly Rancher Bites Awesome Twosome,,,,,,
10700021526,Grocery Non-Taxable,1,100,Milk Duds:Chocolate Covered Caramels,,,,,,
10700101099,Grocery Non-Taxable,1,199,Jolly Rancher,,,,,,
10700132772,Condiments,1,199,Joj,,,,,,
10700450166,Candy,1,249,Jolly Rancher Bites,,,,,,
10700450265,Candy,1,135,JOLLY RANCHER SOUR,,,,,,
10700507365,Candy,1,135,PayDay:Bar,,,,,,
10700517128,Candy,1,135,Jolly Rancher:Strawberry Green Apple,,,,,,
10700517227,Candy,1,249,Jolly Rancher Hard Candy,,,,,,
10700519306,Candy,1,349,"Jolly Rancher:Fruit Chews, Assortment",,,,,,
10700519528,Grocery Non-Taxable,1,125,Jolly Rancher:Original Flavors,,,,,,
10700529831,Candy,1,299,JOLLY RANCHER BITES SUB 8,,,,,,
10700606037,Candy,1,249,Jolly Rancher:Original Flavors,,,,,,
10700702029,Candy,1,349,Whoppers:Malted Milk Balls,,,,,,
10700702302,Candy,1,349,Jolly Rancher:Original Flavors,,,,,,
10700702838,Candy,1,259,Candy,,,,,,
10700702845,Candy,1,299,Jolly Rancher,,,,,,
10700804228,Candy,1,149,"Zero:Caramel, Peanut and Almond Nougat covered with White Fudge",,,,,,
10700807229,Candy,1,125,PayDay Peanut Caramel Bar,,,,,,
10700807274,Candy,1,189,PayDay:King Size,,,,,,
10700858351,Candy,1,349,JOLLY RANCH 5 OZ,,,,,,
10700858368,Candy,1,349,Jolly Rancher Gummi,,,,,,
10700858405,Candy,1,225,Jolly rancher,,,,,,
10700858412,Candy,1,225,Jolly rancher sour,,,,,,
10700858900,Candy,1,299,Jolly rancher gummies,,,,,,
10827563213,Tobacco,1,1399,G,,,,,,
10900000246,Household,1,549,Reynolds Wrap Aluminum Foil:Heavy Duty,,,,,,
10900000307,Household,1,649,Reynolds Wrap Aluminum Foil:Super Strength,,,,,,
10900000406,Household,1,279,Reynolds Wrap Aluminum Foil,,,,,,
10900001144,Household,1,449,Reynolds Wrap Non-Stick Foil:Non-Stick Heavy Duty,,,,,,
10900080316,Household,1,299,Reynolds Wrap Aluminum Foil:Aluminum Foil,,,,,,
11000002888,Cigarettes,1,800,Eagle 100s,,,,,,
11000002932,Cigarettes,1,800,Eagle 20's,,,,,,
11111009448,Household,1,499,Dove hand soap,,,,,,
11111012158,Household,1,249,Dove Men+Care(Tm):Extra Fresh 4.25 Oz,,,,,,
11111012165,Household,1,249,Dove Men+Care(Tm):Deep Clean 4.25 Oz,,,,,,
11111062184,Household,1,999,Dove Men+Care(Tm):Extra Fresh,,,,,,
11111062191,Household,1,999,Dove Men+Care(Tm):Deep Clean,,,,,,
11111121140,Household,1,999,Dove Go Fresh:Cucumber & Green Tea Scent,,,,,,
11111123311,Household,1,899,Dove:Go Fresh Cool Moisture,,,,,,
11111125186,Household,1,899,Dove:Gentle Exfoliating,,,,,,
11111407565,Household,1,999,Caress daily silk,,,,,,
11132000400,Pet,1,799,ALPO Prime Cuts:Savory Beef Flavor,,,,,,
11132117559,Pet,1,149,ALPO Wet:Chop House Originals Ribeye Flavor (Ps #5114442),,,,,,
11132125165,Pet,1,149,ALPO Wet:Prime Cuts Homestyle w/Beef Bacon & Cheese In Gravy (Ps #5126831),,,,,,
11132125448,Pet,1,149,ALPO Wet:Prime Cuts Homestyle w/Chicken In Gravy,,,,,,
11132142230,Pet,1,189,ALPO Wet:Hidden Goodness Homestyle w/Chicken,,,,,,
11132168650,Pet,1,189,Alpo dog food with chicken,,,,,,
11132168674,Pet,1,169,Alpo dog food with lamb &rice,,,,,,
11132171483,Pet,1,299,Alpo Prime Cuts Savory Beef Flavor,,,,,,
11132521479,Pet,1,149,ALPO Wet:Prime Slices Homestyle w/Beef In Gravy,,,,,,
11162102303,Household,1,499,Mrs. Paul's:Crunchy,,,,,,
11200563219,Household,1,1499,Vbh,,,,,,
11210000018,Grocery Non-Taxable,1,249,Tabasco Sauce,,,,,,
11210009714,Grocery Non-Taxable,1,299,Tabasco Green Pepper Sauce,,,,,,
11215000051,Candy,1,100,Sky Bar Caramel Vanilla,,,,,,
11215900900,Snacks,1,99,Necco:Candy Wafer,,,,,,
11233077035,Snacks,1,125,Pie,,,,,,
11233087010,Snacks,1,100,Table Talk:Apple Pie,,,,,,
11233087041,Snacks,1,100,Table Talk:Blueberry Pie,,,,,,
11284003014,Snacks,1,199,JJ's:Apple Fruit Pie,,,,,,
11284003038,Snacks,1,99,"JJ's:Pie, Berry",,,,,,
11284003113,Grocery Non-Taxable,1,99,JJ,,,,,,
11284003168,Snacks,1,100,JJ'S Strawberry & Cream Pie,,,,,,
11284003298,Condiments,1,100,Banana Pie,,,,,,
11822229043,Grocery Non-Taxable,1,269,Kgguu,,,,,,
12000000133,Drinks,1,100,Pepsi Cola,,,,,,
12000000621,Drinks,1,100,Mountain Dew Code Red,,,,,,
12000000850,Drinks,1,100,Mountain Dew,,,,,,
12000001086,Grocery Non-Taxable,1,50,Aquafina,,,,,,
12000001130,Drinks,1,275,Pepsi Cola,,,,,,
12000001291,Drinks,1,225,Pepsi Cola,,,,,,
12000001307,Drinks,1,189,Pepsi Diet Cola,,,,,,
12000001314,Drinks,1,199,Mountain Dew,,,,,,
12000001321,Drinks,1,225,Diet Pepsi,,,,,,
12000001345,Drinks,1,189,Mountain Dew Diet,,,,,,
12000001772,Drinks,1,249,Starbucks Doubleshot Espresso & Cream,,,,,,
12000001802,Drinks,1,369,Starbucks Frappuccino Coffee,,,,,,
12000002243,Drinks,1,199,Mountain Dew Code Red,,,,,,
12000002304,Drinks,1,225,Pepsi Cola,,,,,,
12000002335,Drinks,1,275,Mountain Dew,,,,,,
12000002946,Drinks,1,189,Pepsi 1L,,,,,,
12000003103,Drinks,1,100,Pepsi Wild Cherry,,,,,,
12000003554,Drinks,1,229,Starbucks Coffee Drink,,,,,,
12000004100,Drinks,1,229,Starbucks Frappuccino Vanilla,,,,,,
12000004223,Drinks,1,199,Mug Cream Soda,,,,,,
12000004520,Drinks,1,369,Starbucks Frappuccino Mocha,,,,,,
12000004964,Drinks,1,225,Pepsi Diet Caffeine Free,,,,,,
12000005596,Drinks,1,199,Pepsi Wild Cherry,,,,,,
12000005688,Drinks,1,100,Pepsi,,,,,,
12000005695,Drinks,1,100,Diet Pepsi Cola,,,,,,
12000006494,Drinks,1,229,Starbucks Frappuccino Mocha,,,,,,
12000007293,Drinks,1,249,Starbucks Doubleshot Expresso: Espresso & Salted Caramel Cream,,,,,,
12000007590,Drinks,1,100,Lipton Brisk Lemon,,,,,,
12000008054,Drinks,1,100,Pepsi Can,,,,,,
12000008153,Drinks,1,100,Pepsi diet,,,,,,
12000008993,Drinks,1,100,Mug:Root Beer,,,,,,
12000009105,Drinks,1,199,Mug Root Beer,,,,,,
12000009358,Drinks,1,275,Mug Root Beer,,,,,,
12000012754,Drinks,1,169,Lipton Iced Tea:Green Tea w/Citrus,,,,,,
12000014260,Drinks,1,125,Pepsi:12 Oz Shrinkwrapped,,,,,,
12000016431,Drinks,1,249,AMP Energy,,,,,,
12000016721,Drinks,1,369,Starbucks Frappuccino Caramel Intense Chilled Coffee Drink,,,,,,
12000018770,Drinks,1,100,Pepsi Max:Zero Calories,,,,,,
12000018800,Drinks,1,189,Pepsi Max,,,,,,
12000021367,Drinks,1,249,Ocean Spray:Cranberry Juice Cocktail,,,,,,
12000021381,Drinks,1,249,Ocean Spray:Crangrape,,,,,,
12000024528,Drinks,1,100,Lipton Brisk:Raspberry,,,,,,
12000027215,Drinks,1,179,Mountain Dew,,,,,,
12000028458,Drinks,1,299,Starbucks Doubleshot:Mocha,,,,,,
12000028472,Dairy,1,299,Starbucks Doubleshot:Coffee,,,,,,
12000028496,Drinks,1,299,Starbucks Doubleshot:Vanilla,,,,,,
12000028625,Drinks,1,199,Mountain Dew Voltage,,,,,,
12000030284,Drinks,1,179,Pepsi Cola 16oz,,,,,,
12000034015,Drinks,1,149,Brisk Half Lemonade,,,,,,
12000034022,Drinks,1,149,Lipton Brisk Peach,,,,,,
12000034039,Drinks,1,99,Lipton Brisk Strawberry Melon,,,,,,
12000041174,Drinks,1,199,Pure Leaf Honey Green Tea,,,,,,
12000041396,Drinks,1,299,Starbucks Iced Coffee + Milk,,,,,,
12000042669,Drinks,1,100,Brisk Half & Half Iced Tea & Cherry Limeade,,,,,,
12000042737,Drinks,1,100,Brisk Half & Half Iced Tea & Tropical Lemonade,,,,,,
12000042836,Drinks,1,225,Pure Leaf Tea & Lemonade,,,,,,
12000043000,Drinks,1,149,Mountain Dew Kickstart:Energizing Black Cherry,,,,,,
12000043017,Drinks,1,149,Mountain Dew Kickstart:Energizing Limeade,,,,,,
12000064494,Drinks,1,199,Dole Lamonade,,,,,,
12000064500,Drinks,1,199,Dole Strawberry Lemonade 20oz,,,,,,
12000064524,Drinks,1,275,2L DOLE LMND,,,,,,
12000064531,Drinks,1,275,2L DOLE STRW LMND,,,,,,
12000071744,Drinks,1,249,Ocean Spray 100% Orange,,,,,,
12000071751,Drinks,1,249,Ocean Spray:100% Apple,,,,,,
12000071768,Drinks,1,199,Ocean Spray:Strawberry Kiwi,,,,,,
12000071775,Drinks,1,199,Ocean Spray:Pineapple Peach Mango,,,,,,
12000071782,Drinks,1,199,Ocean Spray:Ruby Red Grapefruit,,,,,,
12000101908,Drinks,1,149,Brisk Juice Lemonade,,,,,,
12000110443,Drinks,1,199,Mountain Dew Kickstart:Energizing Citrus Orange,,,,,,
12000110467,Drinks,1,199,Mountain Dew Kickstart:Energizing Fruit Punch,,,,,,
12000112232,Drinks,1,100,Lipton Peach Iced Tea,,,,,,
12000130274,Drinks,1,199,MTN Dew Baja Blast Soda,,,,,,
12000130311,Drinks,1,100,MTN Dew Baja Blast,,,,,,
12000130922,Drinks,1,100,Lipton Peach Iced Tea,,,,,,
12000140211,Drinks,1,100,Brisk Half & Half Iced Tea Blueberry Lemonade,,,,,,
12000140709,Drinks,1,179,PEPSI CHERRY,,,,,,
12000140877,Grocery Non-Taxable,1,1000,19,,,,,,
12000141652,Drinks,1,100,Brisk Pineapple Iced Tea,,,,,,
12000150098,Drinks,1,100,Mist Twist Lemon Lime,,,,,,
12000150135,Drinks,1,100,Mist Twist,,,,,,
12000151163,Drinks,1,149,Mtn Dew Kickstarter Midnight Grape,,,,,,
12000151262,Drinks,1,189,Crystal Pepsi,,,,,,
12000152719,Drinks,1,99,Lipton Iced Tea Mango,,,,,,
12000161155,Drinks,1,249,Life Water,,,,,,
12000161162,Drinks,1,199,Life Water,,,,,,
12000161230,Drinks,1,149,Brisk Iced Tea Strawberry,,,,,,
12000161476,Drinks,1,149,Brisk Iced Tea,,,,,,
12000163470,Drinks,1,225,Pepsi,,,,,,
12000163739,Drinks,1,299,Starbucks: Salted Caramel Mocha,,,,,,
12000170850,Drinks,1,189,Mountain Dew Ice,,,,,,
12000170898,Drinks,1,225,MTN DEW LEMON LIME,,,,,,
12000171543,Drinks,1,100,Bubly water,,,,,,
12000171741,Drinks,1,199,DIET PEPSI 20Z,,,,,,
12000172526,Drinks,1,275,Diet Pepsi,,,,,,
12000173219,Drinks,1,200,Pure leaf unsweet tea,,,,,,
12000173301,Drinks,1,100,Brisk,,,,,,
12000180262,Drinks,1,100,Brisk Symbiotic,,,,,,
12000181085,Drinks,1,189,Mtn Dew Merry,,,,,,
12000182822,Drinks,1,199,Dole Ruby Red Grapefruit 15.2oz,,,,,,
12000183652,Drinks,1,189,Mtn dew Liberty,,,,,,
12000183751,Drinks,1,189,Pepsi vanila,,,,,,
12000184208,Drinks,1,199,Pepsi mango 20oz,,,,,,
12000190063,Drinks,1,199,Dole topical fruit punch,,,,,,
12000190216,Drinks,1,349,Coffee,,,,,,
12000190551,Drinks,1,100,Dole Lemonade,,,,,,
12000191558,Drinks,1,125,Twister tropical punch,,,,,,
12000191572,Drinks,1,125,Twister blue raspberry rush,,,,,,
12000191619,Drinks,1,100,Twister oran/straw/banana burst,,,,,,
12000192142,Drinks,1,249,Game Fuel,,,,,,
12000192173,Drinks,1,249,Game,,,,,,
12000193354,Drinks,1,100,Dole,,,,,,
12000193736,Drinks,1,100,Brisk iced tea,,,,,,
12000194214,Drinks,1,100,Mtn dew,,,,,,
12000201271,Drinks,1,199,20Z MOUNTAIN DEW-S-A,,,,,,
12000202377,Drinks,1,225,Lipton Brisk Lemon,,,,,,
12000202384,Drinks,1,149,Lipton Brisk:Lemon,,,,,,
12000204951,Drinks,1,199,Mtn dew,,,,,,
12000204968,Drinks,1,100,Mtndew,,,,,,
12000206351,Drinks,1,249,Mtn Dew Rise,,,,,,
12000207198,Drinks,1,199,Pepsi,,,,,,
12000207242,Drinks,1,199,Pepsi black cherry,,,,,,
12000207587,Drinks,1,199,Mtn,,,,,,
12000211614,Drinks,1,100,Mtn dew flaming hot,,,,,,
12000211645,Drinks,1,199,Mtn dew flaming hot,,,,,,
12000211706,Drinks,1,199,Mtn dew spark,,,,,,
12000211713,Drinks,1,100,Mtn dew,,,,,,
12000211980,Drinks,1,199,Nitro pepsi,,,,,,
12000212048,Drinks,1,299,Strbk Baya Energy,,,,,,
12000212888,Drinks,1,199,Mtndew,,,,,,
12000213519,Drinks,1,249,Pure leaf peach,,,,,,
12000213601,Drinks,1,199,Mtn Dew Mango,,,,,,
12000213656,Drinks,1,100,Mtn dew,,,,,,
12000286179,Drinks,1,249,Lipton Pure Leaf:Extra Sweet Tea,,,,,,
12000286186,Drinks,1,249,Pure Leaf,,,,,,
12000286193,Drinks,1,249,Lipton Pure Leaf:Sweet Tea,,,,,,
12000286209,Drinks,1,199,Lipton Pure Leaf:Unsweetened,,,,,,
12000286216,Drinks,1,199,Lipton Pure Leaf Peach,,,,,,
12000286223,Drinks,1,249,Lipton Pure Leaf Raspberry,,,,,,
12000286247,Drinks,1,199,Lipton Pure Leaf:Diet Peach,,,,,,
12000384196,Drinks,1,149,Lipton Brisk:Pink,,,,,,
12000504051,Drinks,1,100,Pepsi,,,,,,
12000504068,Drinks,1,99,Pepsi Diet,,,,,,
12000504082,Drinks,1,100,Mountain Dew,,,,,,
12000567513,Drinks,1,100,Lipton Brisk:Fruit Punch,,,,,,
12000629907,Drinks,1,199,Lipton Half & Half Iced Tea Lemonade,,,,,,
12000668869,Drinks,1,189,Mountain Dew White Out:Smooth Citrus,,,,,,
12000809941,Drinks,1,499,Pepsi:Twelve Pack,,,,,,
12000811319,Drinks,1,169,Mountain Dew Live Wire Orange,,,,,,
12000813313,Drinks,1,369,starbucks vanilla,,,,,,
